MC    CLA    CLS    Queue    CLR
0    4.81    0    0    []
4.81    5.14    14.81    1    []
5.14    9.61    14.81    2    []
9.61    11.19    14.81    3    []
11.19    12.6    14.81    4    []
12.6    13.01    14.81    5    []
13.01    21.23    14.81    6    []
14.81    21.23    24.81    5    []
21.23    22.6    24.81    6    []
22.6    25.92    24.81    7    []
24.81    25.92    34.81    6    []
25.92    37.76    34.81    7    []
34.81    37.76    44.81    6    []
37.76    39.44    44.81    7    []
39.44    49.47    44.81    8    []
44.81    49.47    54.81    7    []
49.47    50.66    54.81    8    []
50.66    62.2    54.81    9    []
54.81    62.2    64.81    8    []
62.2    64.71    64.81    9    []
64.71    66.73    64.81    10    []
64.81    66.73    74.81    9    []
66.73    73.14    74.81    10    []
73.14    78.29    74.81    11    []
74.81    78.29    84.81    10    []
78.29    78.5    84.81    11    []
78.5    87.97    84.81    12    []
84.81    87.97    94.81    11    []
87.97    89.34    94.81    12    []
89.34    90.31    94.81    13    []
90.31    93.33    94.81    14    []
93.33    96.46    94.81    15    []
94.81    96.46    104.81    14    []
96.46    101.35    104.81    15    []
101.35    101.61    104.81    16    []
101.61    103.71    104.81    17    []
103.71    104.03    104.81    18    []
104.03    105.91    104.81    19    []
104.81    105.91    114.81    18    []
105.91    106.47    114.81    19    []
106.47    110.85    114.81    20    []
110.85    111.61    114.81    21    []
111.61    114.85    114.81    22    []
114.81    114.85    124.81    21    []
114.85    114.94    124.81    22    []
114.94    124.05    124.81    23    []
124.05    136.64    124.81    24    []
124.81    136.64    134.81    23    []
134.81    136.64    144.81    22    []
136.64    141.39    144.81    23    []
141.39    159.04    144.81    24    []
144.81    159.04    154.81    23    []
154.81    159.04    164.81    22    []
159.04    163.05    164.81    23    []
163.05    172.8    164.81    24    []
164.81    172.8    174.81    23    []
172.8    177.35    174.81    24    []
174.81    177.35    184.81    23    []
177.35    178.03    184.81    24    []
178.03    179.21    184.81    25    []
179.21    186.78    184.81    26    []
184.81    186.78    194.81    25    []
186.78    189.43    194.81    26    []
189.43    196.65    194.81    27    []
194.81    196.65    204.81    26    []
196.65    200.05    204.81    27    []
200.05    234.02    204.81    28    []
204.81    234.02    214.81    27    []
214.81    234.02    224.81    26    []
224.81    234.02    234.81    25    []
